Customer Segment	RFM Score	M_quantile	F_quantile	R_quantitle	last_to_present	Total Paid	CustomerID	Quantity	InvoiceNo
Highest Paying Customer	121	1	2	1	88	2445.91	14163	893	52
Normal	122	2	2	1	11	765.62	14550	394	48
Normal	333	3	3	3	234	307.46	17120	120	18
Normal	234	4	3	2	109	122.14	18018	55	29
Best Customer	111	1	1	1	9	2993.1	15687	1310	166
Normal	132	2	3	1	89	778.65	13375	442	37
Normal	122	2	2	1	5	974.42	12994	459	61
Normal	122	2	2	1	65	1158.79	16184	561	45
Normal	233	3	3	2	120	605.63	13888	258	40
Best Customer	111	1	1	1	5	7943.22	15290	4501	204
Newest Customer	144	4	4	1	29	197.64	14789	116	6
Highest Paying Customer	131	1	3	1	3	3119.44	13685	5056	39
Best Customer	111	1	1	1	9	2415.91	15373	500	132
Normal	122	2	2	1	96	911.94	13192	595	63
Normal	333	3	3	3	254	316.25	14479	117	18
Normal	133	3	3	1	32	481.75	18216	200	26
Normal	344	4	4	3	325	76.32	14090	72	1
Normal	122	2	2	1	22	1160.07	15088	460	57
Newest Customer	144	4	4	1	31	168.12	15986	268	14
Best Customer	111	1	1	1	64	4405.88	15874	2534	120
Normal	134	4	3	1	51	294.4	13573	303	26
Normal	122	2	2	1	36	798.74	17703	590	55
Normal	223	3	2	2	174	460.59	16805	539	98
Loyal Customer	112	2	1	1	16	1447.14	14591	1297	197
Highest Paying Customer	121	1	2	1	31	2575	15485	1306	86
Normal	333	3	3	3	352	300.42	13304	238	21
Normal	122	2	2	1	58	790.86	14976	234	72
Normal	133	3	3	1	73	446.18	17370	540	33
Highest Paying Customer	221	1	2	2	115	1633.78	15122	800	82
Best Customer	111	1	1	1	61	2404.17	17589	1631	253
Highest Paying Customer	121	1	2	1	12	2919.81	12906	1749	63
Best Customer	111	1	1	1	2	8214.65	14056	4273	1106
Best Customer	111	1	1	1	9	1826.21	18122	1234	364
Normal	233	3	3	2	117	411.7	16272	224	25
Normal	133	3	3	1	5	439.43	16968	326	31
Normal	222	2	2	2	137	712.24	15855	470	80
Best Customer	111	1	1	1	11	2549.37	14701	932	335
Best Customer	111	1	1	1	89	2995.72	14307	2058	180
Normal	134	4	3	1	32	114.23	17219	89	25
Normal	344	4	4	3	307	131.9	14438	82	9
Normal	333	3	3	3	211	519.68	14873	168	28
Normal	343	3	4	3	186	311.26	17854	84	15
Newest Customer	143	3	4	1	6	486.22	13153	418	15
Best Customer	111	1	1	1	9	5076.55	16700	4024	308
Newest Customer	142	2	4	1	92	934.62	16027	1147	16
Best Customer	111	1	1	1	26	5360.63	16303	2659	162
Normal	233	3	3	2	134	520.8	15149	128	23
Best Customer	111	1	1	1	29	1842.56	17015	1981	217
Normal	324	4	2	3	270	221.19	16392	203	45
Newest Customer	144	4	4	1	34	152.2	14039	92	6
Normal	243	3	4	2	178	302.46	18165	254	10
Normal	122	2	2	1	64	1175.22	12885	655	71
Best Customer	111	1	1	1	4	2161.35	13755	1264	342
Best Customer	111	1	1	1	5	2099.64	13126	2143	140
Normal	122	2	2	1	99	1119.74	14276	744	64
Best Customer	111	1	1	1	13	4805.17	15555	4439	899
Normal	223	3	2	2	117	353.86	17252	193	87
Normal	133	3	3	1	3	434.35	14910	238	30
Normal	123	3	2	1	69	570.13	16667	237	53
Best Customer	111	1	1	1	5	4051.48	14401	4507	182
Normal	133	3	3	1	5	387.68	17817	67	33
Best Customer	111	1	1	1	9	2273.18	17768	1186	105
Normal	334	4	3	3	188	275.28	14512	122	23
Best Customer	111	1	1	1	85	3450.84	15410	1200	122
Normal	323	3	2	3	216	354.8	13642	173	66
Normal	124	4	2	1	22	197.63	17301	149	66
Normal	333	3	3	3	262	329.56	13239	363	22
Normal	233	3	3	2	130	605.64	14133	348	28
Normal	133	3	3	1	17	364.72	15949	284	19
Normal	334	4	3	3	221	288.6	17501	160	18
Best Customer	111	1	1	1	18	3347.71	16607	2859	172
Best Customer	111	1	1	1	6	2332.72	17954	2234	485
Normal	122	2	2	1	25	718.08	14725	593	52
Highest Paying Customer	121	1	2	1	33	1698.94	13824	768	46
Normal	133	3	3	1	79	415.8	12930	252	25
Normal	324	4	2	3	256	283.71	13439	242	54
Normal	233	3	3	2	142	301.03	15623	125	19
Newest Customer	144	4	4	1	62	152.94	16248	78	7
Normal	334	4	3	3	312	178.22	17356	166	19
Newest Customer	144	4	4	1	2	227.39	14569	79	12
Highest Paying Customer	121	1	2	1	31	2054.36	14188	1162	65
Newest Customer	142	2	4	1	64	712.4	13587	180	8
Normal	322	2	2	3	190	873.74	13294	453	54
Normal	123	3	2	1	10	524.88	15467	310	52
Normal	223	3	2	2	171	429.87	14998	270	75
Highest Paying Customer	321	1	2	3	265	3638.41	17230	1651	69
Best Customer	111	1	1	1	4	2953.59	14868	1405	144
Normal	334	4	3	3	304	205.48	17843	113	37
Normal	122	2	2	1	54	1420.2	14443	938	93
Newest Customer	143	3	4	1	76	422.6	16689	330	13
Newest Customer	144	4	4	1	71	199.8	15593	60	5
Normal	323	3	2	3	261	628.28	16022	261	76
Newest Customer	144	4	4	1	73	248.61	13061	107	10
Normal	233	3	3	2	162	588.22	14338	335	31
Best Customer	111	1	1	1	12	1789.72	14215	1358	108
Best Customer	111	1	1	1	29	2095.13	17191	1167	237
Normal	132	2	3	1	40	656.25	16127	323	40
Loyal Customer	112	2	1	1	47	1054.67	16728	677	269
Newest Customer	144	4	4	1	93	91.32	15488	73	2
Normal	232	2	3	2	108	1314.45	14973	369	32
Newest Customer	143	3	4	1	87	621.66	17640	250	5
Highest Paying Customer	121	1	2	1	8	26626.8	16333	32184	45
Newest Customer	144	4	4	1	74	152.2	13514	40	4
Highest Paying Customer	121	1	2	1	10	2874.72	14005	2478	84
Churn Customer	444	4	4	4	373	38.1	12855	30	3
Best Customer	111	1	1	1	25	2125.08	14640	886	106
Normal	343	3	4	3	277	391.52	16917	232	9
Normal	333	3	3	3	258	453	18071	260	25
Newest Customer	143	3	4	1	44	335.86	18276	186	14
Loyal Customer	113	3	1	1	73	465.55	15036	327	127
Normal	132	2	3	1	36	658.64	14150	496	26
Newest Customer	144	4	4	1	58	243.84	16793	146	16
Newest Customer	144	4	4	1	66	65.4	17382	25	2
Normal	334	4	3	3	359	290.4	17691	134	19
Newest Customer	144	4	4	1	39	206.34	17166	78	12
Best Customer	111	1	1	1	1	25977.16	13777	12897	197
Normal	123	3	2	1	45	348.1	14379	292	46
Normal	132	2	3	1	60	1121.39	16086	511	39
Best Customer	111	1	1	1	23	3995.23	15529	3496	672
Normal	134	4	3	1	59	223.92	16753	189	34
Loyal Customer	112	2	1	1	79	890.29	17027	421	153
Normal	222	2	2	2	145	1484.06	14758	419	71
Newest Customer	144	4	4	1	54	223.36	17534	103	9
Loyal Customer	112	2	1	1	65	826.52	17921	430	145
Highest Paying Customer	121	1	2	1	71	2748.31	15321	1181	95
Newest Customer	144	4	4	1	2	252.49	13404	111	11
Normal	334	4	3	3	327	201.16	13859	129	28
Normal	133	3	3	1	92	337.74	15652	208	21
Normal	133	3	3	1	78	505.18	14014	1076	39
Best Customer	111	1	1	1	9	1624.05	15172	1611	110
Churn Customer	444	4	4	4	372	230.25	16926	35	14
Best Customer	111	1	1	1	6	3110.96	16326	709	319
Normal	122	2	2	1	47	1063.95	15801	570	64
Loyal Customer	112	2	1	1	68	654.6	14651	344	102
Normal	122	2	2	1	68	1269.1	13431	672	46
Newest Customer	144	4	4	1	20	52.2	13832	28	3
Best Customer	111	1	1	1	17	9585.91	14733	3764	202
Best Customer	111	1	1	1	25	3718.8	16240	1641	135
Best Customer	111	1	1	1	9	3362.71	16011	2042	212
Normal	133	3	3	1	26	550.06	17235	224	29
Best Customer	111	1	1	1	27	2779.3	17838	1879	121
Normal	134	4	3	1	53	216.39	15604	159	17
Best Customer	111	1	1	1	5	66653.56	16684	50255	277
Normal	233	3	3	2	115	605.06	14323	350	36
Normal	133	3	3	1	59	355.56	15840	396	27
Normal	123	3	2	1	45	371.7	14690	170	50
Normal	122	2	2	1	59	674.68	13464	403	41
Normal	333	3	3	3	190	319.02	16967	333	21
Normal	244	4	4	2	170	142.5	16287	298	8
Normal	123	3	2	1	26	320.72	18117	618	74
Normal	232	2	3	2	128	982.42	15133	680	29
Normal	122	2	2	1	86	993.18	17594	550	50
Best Customer	111	1	1	1	8	3640.67	16440	2018	282
Normal	242	2	4	2	107	725.64	14055	216	10
Best Customer	111	1	1	1	9	17654.54	12901	23075	116
Normal	222	2	2	2	123	804.02	18248	511	47
Best Customer	111	1	1	1	38	5396.04	17719	2466	274
Normal	133	3	3	1	15	379.65	13589	114	21
Normal	133	3	3	1	51	538.55	15469	153	24
Newest Customer	142	2	4	1	51	1393.06	17354	1006	16
Normal	243	3	4	2	173	500	15389	400	1
Newest Customer	144	4	4	1	51	218.55	13669	237	9
Best Customer	111	1	1	1	3	13110.02	17735	8439	690
Best Customer	111	1	1	1	18	6643.93	17338	3128	753
Newest Customer	144	4	4	1	51	123.8	14495	62	6
Best Customer	111	1	1	1	32	3170.98	16837	1563	165
Normal	133	3	3	1	82	592.97	18232	302	37
Loyal Customer	112	2	1	1	59	1223.9	13208	804	149
Normal	343	3	4	3	304	314.1	15970	116	11
Normal	133	3	3	1	75	316.68	15243	185	22
Normal	343	3	4	3	274	516.42	13043	254	13
Best Customer	111	1	1	1	1	8338.49	16558	5377	460
Newest Customer	144	4	4	1	11	102.45	14836	45	6
Normal	222	2	2	2	160	665.78	17105	693	90
Normal	232	2	3	2	115	1339.45	15734	346	26
Normal	244	4	4	2	170	158.85	13937	123	9
Newest Customer	144	4	4	1	16	93.78	15428	102	6
Normal	132	2	3	1	93	711.41	13249	546	23
Newest Customer	144	4	4	1	3	204	18273	80	3
Best Customer	111	1	1	1	3	4447.05	14534	2047	519
Newest Customer	143	3	4	1	79	483.4	14147	108	5
Normal	244	4	4	2	142	283.12	17694	184	15
Normal	123	3	2	1	12	404.66	17379	663	83
Normal	133	3	3	1	90	305.62	16796	186	18
Best Customer	111	1	1	1	5	2586.67	15033	1695	510
Normal	233	3	3	2	146	417.38	12833	156	24
Normal	133	3	3	1	61	499.32	15193	144	19
Normal	333	3	3	3	184	475.28	15780	220	29
Loyal Customer	112	2	1	1	8	1281.56	16899	522	125
Normal	124	4	2	1	34	210.31	13532	129	66
Normal	122	2	2	1	12	887.65	16347	353	92
Best Customer	111	1	1	1	2	28882.44	13098	15968	572
Normal	343	3	4	3	319	302.58	14248	102	8
Normal	124	4	2	1	53	202.68	14381	146	56
Best Customer	111	1	1	1	32	3518.03	17160	2856	229
Normal	122	2	2	1	8	789.79	16759	609	42
Normal	223	3	2	2	174	536.4	15535	143	75
Newest Customer	144	4	4	1	82	217.16	16080	128	10
Normal	122	2	2	1	18	1159.11	13499	1365	42
Normal	124	4	2	1	20	167.62	17561	146	46
Normal	124	4	2	1	20	214.65	16411	132	45
Normal	133	3	3	1	33	566.58	18150	332	37
Best Customer	111	1	1	1	65	2938.91	16316	1484	151
Best Customer	111	1	1	1	23	2218.62	15811	1071	133
Normal	132	2	3	1	31	1456.96	16996	544	37
Normal	133	3	3	1	17	642.8	14020	441	39
Loyal Customer	112	2	1	1	18	848.22	14657	466	126
Newest Customer	143	3	4	1	20	336.4	17384	88	15
Best Customer	111	1	1	1	17	3191.53	17685	1956	130
Loyal Customer	112	2	1	1	59	1461.65	14541	647	111
Normal	132	2	3	1	12	698.58	13258	287	38
Normal	122	2	2	1	31	747.78	13623	294	81
Normal	123	3	2	1	81	469	15026	285	61
Best Customer	111	1	1	1	30	1721.78	16791	763	320
Newest Customer	144	4	4	1	8	178.05	18282	103	12
Normal	224	4	2	2	155	167.5	15920	99	60
Normal	123	3	2	1	76	621.29	14152	711	49
Newest Customer	144	4	4	1	33	45.6	14080	48	4
Best Customer	111	1	1	1	2	2621.38	18210	1398	134
Highest Paying Customer	121	1	2	1	40	1575.89	13186	820	79
Normal	243	3	4	2	139	644.3	17312	372	14
Highest Paying Customer	121	1	2	1	58	1877.59	15367	1057	95
Newest Customer	144	4	4	1	4	41.99	15992	17	3
Highest Paying Customer	121	1	2	1	32	2504.13	13695	1603	90
Highest Paying Customer	341	1	4	3	183	39916.5	15098	121	3
Normal	133	3	3	1	32	502.8	16863	409	26
Best Customer	111	1	1	1	2	5605.29	17757	3320	741
Loyal Customer	112	2	1	1	13	734.94	18156	301	140
Normal	243	3	4	2	106	449.52	13489	560	14
Best Customer	111	1	1	1	11	9241.2	14667	5385	573
Loyal Customer	113	3	1	1	20	483.26	17555	349	106
Best Customer	111	1	1	1	2	4098.32	16401	3882	186
Normal	122	2	2	1	5	781.78	17006	272	44
Best Customer	111	1	1	1	19	2360.09	14030	1479	243
Normal	122	2	2	1	2	961.49	15156	597	55
Newest Customer	142	2	4	1	82	675.3	13325	240	12
Highest Paying Customer	121	1	2	1	45	1706.57	15240	1369	78
Normal	344	4	4	3	204	131.7	17455	66	8
Normal	122	2	2	1	9	676.99	13040	355	43
Newest Customer	144	4	4	1	25	281.85	16557	111	11
Normal	344	4	4	3	283	162.3	15733	62	10
Newest Customer	144	4	4	1	36	71.66	13938	70	7
Loyal Customer	112	2	1	1	20	788.08	13212	310	142
Best Customer	111	1	1	1	4	5683.15	14110	2457	156
Normal	122	2	2	1	2	1106.53	16833	440	47
Normal	233	3	3	2	176	340.93	14491	139	17
Best Customer	111	1	1	1	40	3442.15	15974	2262	176
Newest Customer	143	3	4	1	41	316.88	15385	161	12
Normal	122	2	2	1	80	1240.11	17731	493	67
Normal	122	2	2	1	30	882.24	18236	403	49
Normal	222	2	2	2	173	880.85	15076	571	49
Normal	122	2	2	1	9	1064.07	12951	503	63
Normal	133	3	3	1	88	364.5	15343	84	21
Newest Customer	143	3	4	1	65	312.98	13845	182	9
Normal	343	3	4	3	249	463.95	16586	95	8
Best Customer	111	1	1	1	16	4488.81	17975	1568	296
Normal	133	3	3	1	78	511.82	17480	338	29
Newest Customer	144	4	4	1	18	243.55	15634	99	15
Best Customer	111	1	1	1	12	6127.43	13418	3918	304
Best Customer	111	1	1	1	11	5653.82	18118	2882	1279
Normal	344	4	4	3	265	138.68	12902	66	10
Normal	122	2	2	1	15	1387.99	15134	887	73
Normal	344	4	4	3	304	118.95	15843	27	8
Normal	344	4	4	3	209	112.8	14689	76	13
Normal	124	4	2	1	20	225.36	14052	89	56
Best Customer	111	1	1	1	4	3927.34	17593	3101	213
Loyal Customer	112	2	1	1	32	823.97	16284	544	109
Loyal Customer	112	2	1	1	11	1083.71	13467	584	99
Normal	333	3	3	3	181	483.25	14450	241	40
Newest Customer	144	4	4	1	44	183.7	16680	94	10
Normal	123	3	2	1	5	353.65	13173	277	43
Best Customer	111	1	1	1	6	2308.06	13704	1531	134
Normal	343	3	4	3	313	382.5	17239	150	15
Normal	243	3	4	2	164	311.65	14327	139	12
Newest Customer	144	4	4	1	53	125.79	14861	117	6
Loyal Customer	112	2	1	1	4	705.39	16015	909	182
Normal	134	4	3	1	16	220.62	16482	346	18
Best Customer	111	1	1	1	46	3651.97	18079	7432	127
Normal	134	4	3	1	72	224.14	15175	454	23
Normal	133	3	3	1	47	594.24	16325	194	18
Newest Customer	143	3	4	1	53	521.2	12863	188	5
Normal	333	3	3	3	317	458.52	13506	324	26
Normal	243	3	4	2	143	451.42	15802	1	1
Normal	233	3	3	2	111	473.02	14013	462	34
Normal	333	3	3	3	220	610.59	13731	278	38
Normal	123	3	2	1	69	348.6	15579	120	51
Normal	333	3	3	3	246	487.51	16643	269	27
Normal	122	2	2	1	88	758.92	16036	716	55
Normal	333	3	3	3	253	364.8	14886	160	18
Normal	123	3	2	1	26	323.04	17793	232	58
Newest Customer	144	4	4	1	19	43.2	14300	32	3
Normal	244	4	4	2	172	290.36	16526	106	15
Newest Customer	143	3	4	1	9	353.27	14804	121	12
Normal	333	3	3	3	269	439.03	13358	285	29
Normal	122	2	2	1	36	730.4	18035	611	53
Normal	133	3	3	1	51	598.83	17420	265	30
Highest Paying Customer	121	1	2	1	9	1822.97	16169	1325	85
Churn Customer	444	4	4	4	373	50.55	13011	13	3
Normal	123	3	2	1	38	615.14	15275	498	41
Normal	333	3	3	3	221	446.62	14149	218	28
Loyal Customer	112	2	1	1	20	1447.39	15426	674	292
Normal	133	3	3	1	38	364.22	14528	278	18
Normal	334	4	3	3	253	257.23	13626	209	19
Loyal Customer	112	2	1	1	2	1222.71	16794	937	285
Newest Customer	143	3	4	1	10	399.51	13255	177	13
Best Customer	111	1	1	1	9	20275.61	17381	25649	109
Best Customer	111	1	1	1	10	19914.44	15039	9209	1502
Normal	122	2	2	1	22	1107.46	15933	885	74
Highest Paying Customer	121	1	2	1	29	3630.33	14543	679	72
Newest Customer	144	4	4	1	9	80.8	16789	32	5
Normal	322	2	2	3	240	1345.62	14154	465	52
"Once Customer, Now Gone"	443	3	4	4	374	369.5	15922	138	11
Highest Paying Customer	131	1	3	1	8	2686.42	17386	1902	28
Newest Customer	144	4	4	1	15	0	13256	12540	1
Normal	234	4	3	2	117	213.85	13621	343	19
Normal	324	4	2	3	263	200.16	15437	79	45
Best Customer	111	1	1	1	10	1661.33	15024	920	155
Normal	344	4	4	3	278	180.6	18280	45	10
Normal	333	3	3	3	263	517.55	16135	209	21
Normal	232	2	3	2	177	674.45	13951	459	39
Best Customer	111	1	1	1	37	2248.56	17442	1496	135
Normal	133	3	3	1	4	606.91	17119	334	35
Loyal Customer	112	2	1	1	2	1412.32	15237	1071	99
Best Customer	111	1	1	1	44	2824.69	14842	1166	145
Normal	234	4	3	2	156	187.29	18013	285	31
Normal	133	3	3	1	65	508.58	14317	255	24
Normal	123	3	2	1	4	522.38	14871	185	98
Highest Paying Customer	121	1	2	1	9	2357.68	14440	588	55
Normal	122	2	2	1	19	791.33	13167	785	65
Newest Customer	144	4	4	1	73	225.58	16690	138	12
Best Customer	111	1	1	1	16	1771.78	15594	983	103
Normal	123	3	2	1	97	318.76	17229	185	47
Newest Customer	144	4	4	1	54	109.36	16363	52	5
Best Customer	111	1	1	1	8	2697.8	18097	1686	108
Normal	333	3	3	3	236	406.48	16947	312	21
Loyal Customer	113	3	1	1	58	390.07	17614	238	100
Best Customer	111	1	1	1	89	3279.97	15764	2050	180
Loyal Customer	112	2	1	1	29	814.72	16460	879	135
Loyal Customer	112	2	1	1	97	682.41	13548	441	124
Best Customer	111	1	1	1	19	2758.26	13971	1844	149
Highest Paying Customer	141	1	4	1	3	12393.7	16000	5110	9
Best Customer	111	1	1	1	27	5725.47	13178	3570	265
Normal	333	3	3	3	312	325.75	14850	293	21
Normal	344	4	4	3	319	99.5	13703	10	1
Best Customer	111	1	1	1	11	10399.74	15615	5508	423
Highest Paying Customer	211	1	1	2	149	2103.06	14461	766	180
Churn Customer	444	4	4	4	367	129.75	16679	29	3
Normal	344	4	4	3	303	167.25	16405	187	5
Best Customer	111	1	1	1	10	4745.69	15152	2704	271
Normal	323	3	2	3	327	599.97	12872	319	66
Normal	123	3	2	1	45	570.96	15821	202	62
Normal	122	2	2	1	86	1493.73	17002	679	49
Normal	323	3	2	3	214	632.27	16306	487	41
Normal	122	2	2	1	1	1239.38	12985	1533	76
Normal	344	4	4	3	320	200.1	14782	114	6
Normal	133	3	3	1	11	641.94	15297	292	39
Best Customer	111	1	1	1	11	2674.48	13883	1436	142
Best Customer	111	1	1	1	19	3435.76	15676	2252	202
Normal	133	3	3	1	25	308.48	17510	214	20
Normal	324	4	2	3	195	247.14	17051	184	43
Normal	122	2	2	1	33	1187.66	16612	506	66
Loyal Customer	112	2	1	1	31	1519.08	16880	753	178
Normal	123	3	2	1	29	556.95	17295	294	69
Newest Customer	142	2	4	1	93	716.2	15400	390	12
Normal	122	2	2	1	78	1090.24	18189	566	68
Best Customer	111	1	1	1	4	54534.14	15061	28920	403
Normal	222	2	2	2	123	709.71	14127	321	44
Normal	344	4	4	3	226	160.95	13229	63	10
Best Customer	111	1	1	1	18	2012.17	14506	730	316
Normal	132	2	3	1	18	822.48	16164	433	34
Loyal Customer	112	2	1	1	36	945.58	15707	605	214
Newest Customer	144	4	4	1	52	124.88	17148	82	9
Normal	342	2	4	3	185	771.85	17409	105	13
Highest Paying Customer	121	1	2	1	16	2379.49	15270	1521	41
Best Customer	111	1	1	1	53	1627.13	16515	833	113
Newest Customer	143	3	4	1	71	341.36	13347	205	8
Normal	133	3	3	1	19	304.47	15163	186	29
Normal	134	4	3	1	87	285.74	14660	228	30
Best Customer	111	1	1	1	27	4036.82	12867	4298	538
Normal	134	4	3	1	17	292	13502	264	18
Highest Paying Customer	121	1	2	1	17	1945.33	15814	1271	72
Newest Customer	144	4	4	1	46	179.34	18147	203	7
Normal	123	3	2	1	25	454.01	17564	146	49
Newest Customer	144	4	4	1	22	126.25	16414	27	7
Newest Customer	144	4	4	1	4	274.15	16313	165	16
Newest Customer	144	4	4	1	60	81.44	17620	60	4
Loyal Customer	113	3	1	1	6	605.06	13558	344	175
Normal	243	3	4	2	177	305.75	15219	45	9
Newest Customer	144	4	4	1	25	205.25	15758	47	9
Loyal Customer	112	2	1	1	52	762.39	16470	531	170
Loyal Customer	112	2	1	1	19	1553.66	16369	1035	118
Highest Paying Customer	121	1	2	1	88	2005.63	16098	613	67
Highest Paying Customer	121	1	2	1	85	3029.87	16709	851	79
Best Customer	111	1	1	1	60	3160	17863	2638	148
Normal	334	4	3	3	234	267.03	15517	293	27
Best Customer	111	1	1	1	9	9261.52	14367	4438	524
Normal	244	4	4	2	180	58.08	13080	120	6
Best Customer	111	1	1	1	30	5900.25	14944	2815	170
Loyal Customer	112	2	1	1	23	775.46	14234	963	159
Normal	133	3	3	1	95	622.43	17460	236	29
Highest Paying Customer	331	1	3	3	197	2139.76	14828	2172	17
Normal	132	2	3	1	74	921.88	13035	644	27
Normal	133	3	3	1	16	614.66	16566	362	18
Normal	344	4	4	3	282	76.1	17995	133	2
Normal	242	2	4	2	170	842.65	13929	143	9
Best Customer	111	1	1	1	10	10484.99	15251	6171	111
Best Customer	111	1	1	1	83	3536.82	13334	1774	268
Best Customer	111	1	1	1	9	3799.49	16145	3123	224
Normal	333	3	3	3	246	394.44	14619	152	20
Normal	332	2	3	3	198	707.69	16449	367	40
Normal	343	3	4	3	358	316.58	15204	258	9
Normal	334	4	3	3	255	271	18108	84	17
Best Customer	111	1	1	1	2	2027.5	16358	1302	109
Normal	122	2	2	1	3	1018.71	12828	494	56
Best Customer	111	1	1	1	8	56252.72	15769	29672	130
Newest Customer	143	3	4	1	79	394.72	17603	74	11
Best Customer	111	1	1	1	40	1871.81	13982	1136	111
Normal	134	4	3	1	20	158.03	15988	181	27
Normal	122	2	2	1	18	990.23	17324	844	50
Best Customer	111	1	1	1	11	3401.24	13198	2648	226
Normal	133	3	3	1	5	342.45	16851	271	20
Best Customer	111	1	1	1	8	4076.91	14092	2066	214
Normal	133	3	3	1	93	443	18222	335	19
Newest Customer	144	4	4	1	75	234.34	14473	88	7
Normal	344	4	4	3	360	201.2	13295	82	10
Normal	123	3	2	1	86	334.53	15466	246	57
Best Customer	111	1	1	1	11	3349.57	16818	2165	189
Normal	123	3	2	1	25	388.14	17357	153	45
Newest Customer	144	4	4	1	90	103.3	18255	74	6
Best Customer	111	1	1	1	3	4654.08	14189	3937	265
Normal	133	3	3	1	45	522.91	17712	215	29
Normal	132	2	3	1	12	745.06	13950	323	35
Normal	122	2	2	1	23	1555.32	13313	851	78
Normal	333	3	3	3	213	348.15	13052	222	18
Normal	122	2	2	1	15	1205.12	15737	599	72
Normal	133	3	3	1	22	618.09	16134	371	35
Normal	243	3	4	2	165	339.3	16545	78	3
Normal	344	4	4	3	318	157.02	17118	154	10
Normal	343	3	4	3	299	321.05	15236	269	15
Normal	132	2	3	1	18	700.73	13238	298	31
Normal	122	2	2	1	9	955.24	15948	567	60
Loyal Customer	112	2	1	1	27	1358.88	15411	530	99
Best Customer	111	1	1	1	13	3997.98	17769	1862	310
Normal	133	3	3	1	32	519.44	13643	273	28
Best Customer	111	1	1	1	3	3586.03	14132	3368	200
Loyal Customer	113	3	1	1	13	302.1	15054	198	114
Best Customer	111	1	1	1	68	2095.53	16875	1069	112
Normal	243	3	4	2	101	455.59	14513	361	12
Best Customer	111	1	1	1	5	5425.56	18198	4074	159
Loyal Customer	112	2	1	1	34	1483.14	15427	1013	306
Loyal Customer	113	3	1	1	61	620.04	14529	348	229
Newest Customer	144	4	4	1	74	173.9	18278	66	9
Loyal Customer	112	2	1	1	59	705.49	15038	217	130
Normal	423	3	2	4	366	414.88	16795	239	66
Normal	344	4	4	3	234	157.2	14148	16	3
Highest Paying Customer	121	1	2	1	60	1638.47	13627	1269	92
Best Customer	111	1	1	1	5	2495.87	15932	2325	115
Normal	122	2	2	1	79	1560.38	14038	965	92
Normal	233	3	3	2	173	532.94	15825	220	20
Normal	133	3	3	1	11	301.29	15148	187	20
Best Customer	111	1	1	1	3	3046.21	16393	1576	330
Best Customer	111	1	1	1	46	1804.56	13481	1142	109
Normal	244	4	4	2	127	233.22	16302	158	11
Normal	133	3	3	1	38	399.65	18164	184	24
Normal	123	3	2	1	9	586.33	17014	245	74
Loyal Customer	113	3	1	1	17	604.75	14675	341	102
Newest Customer	143	3	4	1	89	309.05	12884	43	7
Newest Customer	143	3	4	1	18	322.08	14424	48	1
Normal	132	2	3	1	5	688.33	16642	479	34
Normal	243	3	4	2	118	640.14	14301	606	13
Normal	332	2	3	3	270	855.02	16037	428	39
Highest Paying Customer	141	1	4	1	80	1862	14887	1100	6
Normal	322	2	2	3	228	1065.35	17277	430	69
Normal	322	2	2	3	296	1257.87	13151	363	74
Normal	244	4	4	2	163	127.1	15578	52	13
Normal	222	2	2	2	136	752.6	13730	488	43
Loyal Customer	112	2	1	1	9	901.21	17566	518	152
Normal	134	4	3	1	54	151.83	16412	73	35
Best Customer	111	1	1	1	13	2861.55	18145	2625	221
Normal	122	2	2	1	24	1166.77	13500	609	65
Loyal Customer	112	2	1	1	29	771.17	14662	602	168
Normal	344	4	4	3	331	226.37	16315	75	14
Highest Paying Customer	221	1	2	2	108	1801.14	15812	922	41
Normal	122	2	2	1	47	1421.61	14019	1037	66
Newest Customer	144	4	4	1	20	170.32	14860	232	11
Best Customer	111	1	1	1	3	3744.65	17238	1822	566
Loyal Customer	112	2	1	1	38	662.38	16014	265	145
Normal	123	3	2	1	3	350.64	17835	348	61
Normal	132	2	3	1	8	711.86	13705	363	28
Best Customer	111	1	1	1	12	6776.56	15601	4983	410
Highest Paying Customer	121	1	2	1	73	1770.34	16681	1407	44
Loyal Customer	112	2	1	1	61	662.59	14451	389	109
Normal	344	4	4	3	243	183.85	14326	103	8
Normal	122	2	2	1	27	1421.69	16571	1239	87
Best Customer	111	1	1	1	9	3122.04	16156	1308	130
Loyal Customer	112	2	1	1	12	799.48	13030	394	99
Normal	344	4	4	3	324	178.95	15262	73	10
Normal	333	3	3	3	237	630.84	17990	414	29
Normal	322	2	2	3	201	1110.34	14817	655	63
Best Customer	111	1	1	1	51	1777.78	17092	1131	125
Best Customer	111	1	1	1	2	1838.85	13924	1575	117
Normal	322	2	2	3	201	860.12	13339	326	54
Highest Paying Customer	131	1	3	1	3	1843	12950	1380	23
Normal	344	4	4	3	233	225.15	16587	71	13
Normal	122	2	2	1	4	1255.59	17481	1061	82
Normal	233	3	3	2	130	406.09	15342	283	24
Normal	133	3	3	1	12	361.62	13844	196	20
Loyal Customer	112	2	1	1	25	740.79	17974	519	179
Normal	133	3	3	1	79	432.2	16236	184	20
Normal	132	2	3	1	4	1164.55	14737	345	17
Newest Customer	144	4	4	1	64	221.06	13419	275	16
Normal	132	2	3	1	37	841.08	17076	295	25
Newest Customer	144	4	4	1	30	126.14	15463	106	7
Normal	134	4	3	1	47	160.57	17344	66	32
